Title,Desc
Seated palms-up wrist curl,"The seated palms-up wrist curl is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout."
Bottoms-Up Clean From The Hang Position,
Seated One-Arm Dumbbell Palms-Up Wrist Curl,
Palms-Up Dumbbell Wrist Curl Over A Bench,
Seated palms-down wrist curl,"The seated palms-down wrist curl is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout."
Palms-Down Dumbbell Wrist Curl Over A Bench,
Seated One-Arm Dumbbell Palms-Down Wrist Curl,
Seated Dumbbell Palms-Up Wrist Curl,
Partner farmer's walk,"The partner farmer's walk is a protocol for performing farmer's carries with dumbbells or other weights. One partner walks for a predetermined distance or time, then passes the weight to the other partner who walks for the same distance or time."
Dumbbell suitcase carry,"The dumbbell suitcase carry is similar to a dumbbell farmer's carry, but only uses one dumbbell rather than two. This simple change provides a significant challenge to the abdominal muscles. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift."
Suitcase Dumbbell Carry,"The dumbbell suitcase carry is similar to a dumbbell farmer’s carry, but only uses one dumbbell rather than two. This simple change provides a significant challenge to the abdominal muscles. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift."
Side plank with dumbbell external rotation,"The side plank with dumbbell external rotation is a movement that combines an isometric side plank hold with a dumbbell rotation to target both the core and the rotator cuff muscles. You probably won't be able to use much weight without disrupting your balance, but even at light weight, this is a movement that can help address multiple muscle groups in a dynamic warm-up or as accessory work at the end of a workout."
Rickshaw Carry,
Dumbbell farmer's walk,"The dumbbell farmer's walk is an exercise with roots in competitive strongman training, but which is also popular in CrossFit and functional training. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift."
Wrist Roller,
Standing Olympic Plate Hand Squeeze,
Plate Pinch,
Landmine Press and Catch,"The single-arm linear jammer is an explosive pressing movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. The linear jammer involves pressing the weight into the air, then catching it with the other hand. The movement focuses primarily on the muscles of the shoulders or deltoids. It can be trained in traditional muscle and strength-focused rep ranges, for lower reps with a focus on explosive pressing power, or for higher reps."
Plate halo,The plate halo is an exercise targeting the shoulder complex. It's usually performed as part of a dynamic warm-up prior to an upper-body workout.
Bryant Wrist Curl,
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,
Cable Wrist Curl,
Single-arm cable push-down,"The single-arm cable push-down is a single-joint isolation movement that develops the triceps muscle one arm at a time. Because the action is purely at the elbow joint, it is difficult to use any substantial weight. Reps are usually high, such as 8-12 reps per set or more, with a focus on strict form and feeling the mind-muscle connection."
Wrist Circles,
Kneeling Forearm Stretch,
Hip Extension with Bands,
Hip Lift with Band,
HM Monster Walk,
UNS Banded Glute Bridge,
FYR2 Banded Glute Bridge,
Piriformis SMR,"Piriformis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the piriformis muscles in the upper gluteal region, some people find they can cause this often painful and tight muscle to relax or ""release."" Piriformis SMR is often accompanied by SMR on the iliotibial (IT) band or tensor fascia lata (TFL muscles), or by stretches that target the glutes and hips."
Barbell glute bridge,"The barbell glute bridge is a popular exercise targeting the muscles of the glutes and hamstrings. It can be done as a strength movement on its own, as an activation drill or warm-up for lower-body training, or as a burnout at the end of a lower-body workout."
Barbell Hip Thrust,"The barbell hip thrust is an exercise that engages the posterior chain, particular the glutes. It involves fully extending your hips while holding a weighted barbell across the midsection."
Kneeling Squat,
Kneeling Jump Squat,
UN Rear Foot Elevated Split Squat,
Kettlebell thruster,"The kettlebell thruster is a popular kettlebell movement that combines a kettlebell front squat with a kettlebell press, while holding the bell in a goblet or bottoms-up grip. It is preceded by a clean at the start of each set, and you can perform a clean between each rep if you choose. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a larger kettlebell combination or complex."
Taylor Kettlebell Swing,
UN Goblet Squat,
Single-arm triceps kick-back,"The single-arm triceps kick-back is a popular movement to increase size and strength of the triceps. It is usually performed for moderate to high reps, at least 8-12 reps, as part of an upper-body or arm-focused workout."
Holman Lateral High Knees to Quad Touch Jump,
FYR2 Dumbbell Hip Thrust,
FYR2 Glute Bridge Dumbbell Floor Press,
Suspended Hip Thrust,
Single-leg cable hip extension,"The single-leg cable hip extension is an isolation exercise that targets the glutes, specifically the gluteus maximus. It is a common burnout movement on a lower-body focused day and is usually performed for moderate to high reps, such as 8-12 reps per set or more."
Pull Through,
Cable rope pull-through deadlift,The cable rope pull-through deadlift is an exercise targeting the glutes and hamstrings using a proper hip-hinging motion.
UNS Cable Pull-Through,
30 Legs Glute-Ham Raise,
Glute bridge,"The glute bridge is a popular lower-body bodyweight exercise that primarily targets the glutes, but also activates the lower back and hamstrings. It can be performed with body weight alone, or with added resistance such as barbells, dumbbells, or bands. It can be performed for time or reps and works perfectly in a dynamic warm-up for lower-body training, but can also be performed for glute activation anytime."
Single-leg glute bridge,"The single-leg glute bridge is a lower-body exercise that targets the glutes, lower back, and hamstrings. It is performed one side at a time."
Step-up with knee raise,"The step-up with knee raise is a lower-body exercise targeting the quads, glutes, and hamstrings. It differs from a traditional step-up in that at the top, you lift the trailing leg up to full hip flexion. This gives the exercise a greater range of motion and more of a focus on powerful hip extension in the working leg. When performed with body weight, these are usually performed for high reps as part of a dynamic warm-up, as cardio acceleration, or as part of the lower-body portion of a workout or circuit."
Glute Kickback,
Standing hip extension,The standing hip extension is a movement that activates the glutes and hamstrings. It is often performed either for time or reps as part of a dynamic warm-up.
Lying glute stretch,"The lying glute stretch is a stretch to help increase flexibility in the glutes and hips. It involves rotating a single leg over the body while lying flat on the back, and reaching around the leg to facilitate a stretch. It is commonly included in dynamic warm-ups or cool-downs, but can also be performed as full-body mobility work anytime."
Knee Across The Body,
Seated Glute,
Lying Glute,
One Knee To Chest,
Seated Glute Stretch,
Neck Bridge Supine,
Walking High Knee,
Walking Butt Kicks,
Walking Glute Stretch,
Lunge kick,"The lunge kick is a lower-body, cardio-based exercise performed at a high intensity. It includes a kick of the front leg to make the movement more powerful. It can be performed either for time or reps and is a great inclusion in a fat-loss or athleticism-focused circuit workout."
Curtsy lunge,"The curtsy lunge is a lower-body bodyweight movement that targets the muscles of the hips and glutes. It is usually performed for moderate to high reps, at least 8-12 reps per leg."
Alternating standing glute stretch,"The alternating standing glute stretch focuses on improving lower-body mobility and flexibility, particularly in the hips and glutes. It involves performing a partial squat in a ""figure 4"" position. It can be performed as part of a lower-body warm-up or done post-workout to help combat tightness and soreness."
Side-lying leg lift,"The side-lying leg lift is a bodyweight exercise targeting the muscles of the hips and glutes. It can be a worthy addition to a dynamic warm-up on a lower-body or strength-focused training day, a component of a lower-body circuit or workout, or a glute activation drill to do anytime. Generally, leg lifts are done for high reps, such as 8-15 reps per leg or more."
FYR Progressive High Knee,"High knees is a full-body, cardio-based exercise with an emphasis on the lower body. It is often performed for reps or time as part of a dynamic warm-up."
Glute-Ham Raise - Gethin Variation,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.
Lunge glute stretch,"The lunge glute stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is influenced by the pigeon pose from yoga, but is performed with straight arms. It can be part of a dynamic warm-up or mobility work performed anytime."
Natural Glute Ham Raise - Gethin Variation,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.
Groiner,"The groiner is an explosive bodyweight exercise targeting the legs, shoulders, and core. It also includes a dynamic stretch of the hips. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout."
HM Alternating Donkey Kick,
HM Alternating Slow Step-Down With Chair,
HM Right Side Iron Cross,
HM Single-Leg Bridge,
HM Hi-Low,
HM Kick-Back,
HM Left Side Iron Cross,
HM Left Side-Kick,
HM Leg Lifts,
Walking lunge,"The walking lunge is a lower-body exercise that targets the glutes, quads, and hamstrings while challenging stability and balance. It can be performed for reps, time, or distance in the lower-body portion of any workout."
High Plyometric Box Jump,
Barbell hip thrust-,"The barbell hip thrust is a popular exercise that targets the posterior chain, particularly the glutes and hamstrings. It involves fully extending your hips while holding a weighted barbell across the front of the hips. It is a great movement to activate the glutes prior to other lower-body training, but can also be performed in the main part of a workout, or for high reps as a glute burnout."
UN Glute Bridge,
Holman Donkey Kick,
Holman Hip Raise with Alternating Kick,
Holman Left Leg Donkey Kick,
Holman Diagonal Right Leg Step-Out to Right Knee-Up,
Holman Right Leg Donkey Kick,
Holman Butt Tap to Jump,
Holman Butt Tap to Jump-Forward-Jump-Back,
Holman Traveling High Knees to Squat Thrust,
Holman Butt Kicker to High Knees,
Holman Daisy Cutter,
Holman Frogger,
Holman Hip Raise with Chest Press,
Total Fitness Bear Crawl,"The bear crawl is a popular bodyweight crawling exercise. While it looks simple, the bear crawl is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning."
Pigeon stretch,"The pigeon stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is similar to the pigeon pose from yoga, but is also popular as part of dynamic warm-ups or cool-downs in strength training. It can also be performed anytime to help combat training-related soreness."
Levitating side kick-through,"The levitating side kick-through is a full-body movement that starts in a bear crawl position and ends with a leg kicked out to the side. In between reps, you kick into the air in a partial handstand. It is commonly performed for reps or time in bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence."
30 Legs Hip Thrust,
Dumbbell single-leg hip thrust,"The dumbbell single-leg hip thrust is a single-sided exercise that targets the posterior chain, particularly the glutes and hamstrings. It involves balancing on one foot and fully extending your hips while holding a dumbbell across the front of your hip. It is a great movement to activate the glutes prior to other lower-body training, but can also be performed in the main part of a workout, or for high reps as a glute burnout."
Medicine ball duck walk,"The medicine ball duck walk is a dynamic medicine ball movement that challenges both the upper and lower body, while also elevating the heart rate. It's a great movement to include in medicine ball or bodyweight circuit training to increase fatigue and burn serious calories while hammering the muscles of the legs."
Exercise ball hip thrust,"The exercise ball hip thrust is a simple yet effective way to work the glutes and hamstrings. Proper form is essential to really feel the burn in the glutes, and the ball can help guide you into the right form better than a bench, which is the usual support for hip thrusts. Unlike the bench version, the ball hip thrust is best performed with body weight or bands as resistance for safety reasons. It can be an excellent component of a warm-up for lower-body training, or a glute activation drill performed anytime."
Downward Facing Balance,
Band Good Morning (Pull Through),
Standing Hamstring and Calf Stretch,
Hamstring-SMR,
Barbell Deadlift,"The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift."
Clean Deadlift,
Sumo deadlift,"The sumo deadlift is a compound movement in which the feet are set in a wide stance with toes pointed out and grip is placed inside of the legs. It is allowed to be performed instead of conventional deadlifts in most powerlifting competitions. The sumo deadlift targets the hamstrings, glutes, and upper back/traps, but also has a greater emphasis on stretching and strengthening the adductor and hip muscles due to the wide stance."
Romanian Deadlift from Deficit,
Power Snatch,
Power Clean from Blocks,
Snatch Deadlift,
Power clean,"The power clean is a full-body movement in which the bar is pulled from the floor and caught in the front rack position in three pulls or phases. The bar is received in the ""power"" position, with the hips higher than a full-depth squat position. The power clean can be used as a component of the clean and press or clean and jerk, but is also a valuable lift to build explosive power and strength."
Hang Snatch,
Wide Stance Stiff Legs,
Clean,
Good Morning,"The barbell good morning is an exercise that targets glute, hamstring, and lower back development. It is often trained as an accessory movement to the deadlift, but also has value on its own. It is sometimes performed for reps in traditional strength-focused rep ranges such as 5-8 reps per set, but due to the risk posed to the lower back, is rarely treated as a max-effort single-rep lift."
Barbell stiff-legged deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement."
Romanian Deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement."
Sumo Deadlift with Chains,
Sumo Deadlift with Bands,
Good Morning off Pins,
Stiff-Legged Deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement."
Snatch Pull,
Hanging Bar Good Morning,
Reverse Band Sumo Deadlift,
Muscle Snatch,
Split Snatch,
Hang Snatch - Below Knees,
30 Legs Sumo Deadlift,
Kettlebell pass-through lunge,"The kettlebell pass-through lunge is a dynamic leg and core exercise in which a lifter passes a weight under their front leg during lunges. It is a unique coordination challenge, but also challenging to the musculature of the abdomen, lower body, shoulders, and upper back. It is most commonly performed for higher reps, such as 10-15 reps per side, or for time. It can work in circuit-style workouts, or in lower-body or full-body time-efficient training."
Kettlebell One-Legged Deadlift,"The kettlebell single-leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement. It's popular in lower-body training for strength and muscle building, but also trains balance, grip, and the core muscles."
Single-arm kettlebell clean,"The single-arm kettlebell clean is an explosive kettlebell exercise where the lifter pulls the weight to shoulder level in a single movement. While the kettlebell clean is often used as a transitional movement into the press or front squat, it is also a valuable strength and power exercise in its own right. It can be performed in low rep ranges for strength or higher rep ranges for technique practice or muscle growth."
Single-leg kettlebell deadlift,"The kettlebell single-leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement. It's popular in lower-body training for strength and muscle building, but also trains balance, grip, and the core muscles."
Romanian Deadlift with Kettlebell,
Single-arm kettlebell swing,"The single-arm kettlebell swing is a popular exercise emphasizing the muscles of the hamstrings, glutes, and back. Because you are only swinging with one arm at a time, it is also uniquely challenging to the grip and core muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, or in circuit training."
Kettlebell Dead Clean,
Alternating Hang Clean,
One-Arm Open Palm Kettlebell Clean,
Open Palm Kettlebell Clean,
Kettlebell Hang Clean,
Double Kettlebell Alternating Hang Clean,
Romanian Deadlift With Dumbbells,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree."
Stiff-Legged Dumbbell Deadlift,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree."
Vertical Swing,
Dumbbell Fix Dumbbell Swing,
Dumbbell Lying Hamstring Curl,
30 Legs Dumbbell Stiff-Legged Deadlift,
Box jump,"The box jump is an explosive exercise that strengthens the muscles of the lower body, including the quads, glutes, calves, and hamstrings. They also develop power in the lower body while revving the heart rate. Box jumps can be performed for low reps to focus on strength and power, or for higher reps for metabolic conditioning. Most coaches recommend stepping down rather than jumping down between reps."
Box Jump (Multiple Response),"The box jump is a plyometric exercise that strengthens the muscles of the lower body, including the quads, glutes, calves and hamstrings. They also develop power in the lower-body while revving the heart rate."
Sled push-,"The sled push is a conditioning exercise that targets the cardiovascular system and the muscles of the lower body. It involves pushing a sled along turf or another flat surface either for time or distance. Depending on your type of equipment, you may be pushing handles or straps in front of the sled. It can be used as part of a dynamic warm-up or for power training, as a finisher, or as part of a conditioning workout or circuit."
Lying Hamstring,
Chair Leg Extended Stretch,
Suspended Leg Curl,
Box Skip,
Power Stairs,
Seated Hamstring and Calf Stretch,
Hamstring slide,"The hamstring slide is a bodyweight exercise targeting the hamstrings. Lying supine on a smooth surface, bend your knees to pull both heels toward you. The sliding action requires a pad, cloth, or furniture sliders under the heels. These are considered more difficult than exercise ball hamstring curls and are a great primer movement before heavy squats or deadlifts, or as an accessory movement later in a lower-body workout."
Seated Band Hamstring Curl,
Lying cable leg curl,"The lying cable leg curl is a classic machine exercise for building greater muscle size and strength in the hamstrings. It's easy to learn, easy to master, and poses little in the way of injury risk. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of lower-body training."
Standing cable leg curl,"The standing cable leg curl is an isolation exercise for the hamstrings. It is often used as a variation of leg curl machines and for working each side independently. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of lower-body training."
Lying Leg Curls,"The lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Glute Ham Raise,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.
Reverse Hyperextension,
Seated Leg Curl,"The leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It comes in seated and lying varieties, but the seated leg curl machine is more common in commercial gyms. Leg curl variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Standing Leg Curl,
Smith machine stiff-legged deadlift,"The Smith machine stiff-legged deadlift is a machine-based exercise targeting the muscles of the hamstrings, glutes, and upper back. The Smith machine mimics a barbell but provides more stability. This movement can be programmed like a traditional stiff-legged or Romanian deadlift, in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout."
Lying Leg Curl - Gethin Variation,"The lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Paul Carter Leg Extension,The leg extension is an isolation exercise for the quads.
Lying leg curl,"The lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Seated Hamstring Curl - Gethin Variation,"The leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It comes in seated and lying varieties, but the seated leg curl machine is more common in commercial gyms. Leg curl variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Single-leg lying leg curl,"The single-leg lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training. Performing it one leg a time allows you to focus on the mind-muscle connection of each leg and address muscle imbalances."
Leg curl,"The leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It comes in seated and lying varieties, but the seated leg curl machine is more common in commercial gyms. Leg curl variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Leg Extension - Gethin Variation,The leg extension is an isolation exercise for the quads.
Single-leg leg extension-,"The single-leg leg extension is a popular machine-based exercise for the legs, particularly the quadriceps. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training. Performing it one leg a time allows you to focus on the mind-muscle connection of each leg and address muscle imbalances."
Lying Hamstring Curls - Gethin Variation,"The lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
AM Seated Hamstring Curl,"The leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It comes in seated and lying varieties, but the seated leg curl machine is more common in commercial gyms. Leg curl variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
UP Hamstring Curl,"The lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
30 Legs Leg Extension,
30 Legs Seated Leg Curl,
Natural Glute Ham Raise,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.
Standing leg swing,"The standing leg swing is a dynamic stretching exercise that involves moving one leg up in front of you, as if to punt an imaginary football. This is a classic move for warming up the body and stretching the hamstrings."
Linear Acceleration Wall Drill,
Knee Tuck Jump,"The tuck jump is a vertical jump, an explosive lower-body exercise that is a common way to measure explosive hip and lower-body strength in athletes. The more explosive you are, the higher you'll be able to jump."
Leg-Up Hamstring Stretch,
Inchworm,The inchworm is a popular bodyweight exercise that involves “walking” the hands on the floor from a bent-over toe-touch position into a straight-arm plank. It is usually performed as part of a dynamic warm-up to help raise core body temperature and “limber up” the body from head to toe.
Moving Claw Series,
Lying groin stretch with band,"The lying groin stretch with band is a simple way to stretch a chronically tight muscle group of the lower body. It is common in stretching and yoga classes but can also be performed individually as part of a warm-up, paired with movements in a workout, or as part of a cool-down or recovery strategy."
90/90 Hamstring,
World's greatest stretch,"The world's greatest stretch is a popular movement that earned its name because it targets multiple parts of the body, including the hips, shoulders, and thoracic spine, in a single sequence. This makes it a great dynamic warm-up, post-workout stretch, or mobility work you can do anytime."
The Straddle,
Prone Manual Hamstring,
Knee To Chest,
Hurdle Hops,
Hip Stretch With Twist,
Linear 3-Part Start Technique,
Alternating Leg Swing,
Single-leg balance and reach,The single-leg balance and reach is an exercise that focuses on lower-body strength and stability.
High Kick,
Boss Everline 10-Yard Sprints,
Standing hamstring stretch,"The standing hamstring stretch is an exercise that stretches the hamstrings, the muscles that cover the back of the thighs. It involves looping a band around one foot and then pulling it, which produces an intense stretch in the hamstrings. It can be performed prior to training the lower body or playing sports, or as a restorative stretch anytime."
Reverse lunge,"The reverse lunge is a lower-body exercise targeting the quads, glutes, and hamstrings. The reverse lunge places more emphasis on the glutes than other lunge variations."
HM Alternating Cross Lunge,
HM Alternating Front Kick,
HM World's Greatest Stretch,
HM Alternating Sprawl Kick-Through,
HM Alternating Step-Back,
HM Alternating Step-Up With Chair,
HM Right Knee-Up,
HM Low Lunge With External Twist,
HM Ninja Crawl,
HM Pigeon Stretch,
Single-Leg Deadlift Walk,
Total Fitness Hamstring Slide,"The hamstring slide is a bodyweight exercise targeting the hamstrings. Lying supine on a smooth surface, you bend your knees to pull both heels toward you. The sliding action requires a pad, cloth, or furniture sliders under the heel. These are considered more difficult than exercise ball hamstring curls, and are a great primer movement before heavy squats or deadlifts, or as an accessory movement later in a lower-body workout."
30 Legs Walking Lunge,
Glute ham raise-,"The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD, or glute ham developer bench. The unassisted version of the movement requires serious hamstring strength, so it is more common to see versions that use a band or PVC pipe for assistance. It is commonly performed as an accessory movement for heavy barbell lifts. While a single rep may be a struggle at first, with time, strong athletes can build up to doing them for 8-12 reps per set."
Lying hamstring stretch with band,"The lying hamstring stretch with band is a simple way to stretch a chronically tight muscle group of the lower body. It is common in stretching and yoga classes but can also be performed individually as part of a warm-up, paired with movements in a workout, or as part of a cool-down or recovery strategy."
Upper Back-Leg Grab,
Seated Hamstring,
Alternating lunge jump,"The alternating lunge jump is an explosive bodyweight exercise that targets the lower-body muscles, including the quads, glutes, and hamstrings. It can be performed for time or reps in power training, and is also effective in any fat-loss or athleticism-focused workout."
Runner's Stretch,
Exercise ball leg curl,"The exercise ball leg curl is an exercise targeting the hamstrings. In particular, it targets the knee flexion function of the hamstrings, as opposed to deadlift variations, which target the other hamstring function, hip flexion. Many lifters opt for this exercise when they don't have access to a lying leg curl machine, but it is worth considering even if you already do machine curls."
Ball Hamstring Hat Trick,"The exercise ball leg curl is an exercise targeting the hamstrings. In particular, it targets the knee flexion function of the hamstrings, as opposed to deadlift variations, which target the other hamstring function, hip flexion. Many lifters opt for this exercise when they don’t have access to a lying leg curl machine, but it is worth considering even if you already do machine curls."
Band-assisted pull-up,"The band-assisted pull-up is a variation of the pull-up exercise in which the reps are performed with an elastic band looped around the feet or knees. This reduces weight and resistance at the bottom of the rep, while increasing it toward the top. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, and is often used as a way to help people boost their pull-up numbers or perform their first rep."
Assisted Chin-Up,"The reverse-grip chin-up is a variation of the pull-up exercise in which the reps are performed with the palms facing toward the body, in an underhand position, with a band looped around the feet or knees. This reduces weight and resistance at the bottom of the rep, while increasing it toward the top. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, but it utilizes the biceps slightly more than overhand band-assisted pull-ups."
UN Band Assisted Pull-up Pronated,
UN Band Assisted Pull-up Neutral,
UN Band Assisted Pull-up Supinated,
FYR2 Monster Band Face-Pull Hold,
Single-arm band low row,"The single-arm band low row is a single-arm row variation utilizing a band for resistance that is anchored low. It targets the muscles of the middle back, like the lats (latissimus dorsi) and rhomboids, but also the core. It is usually performed for moderate to high reps, at least 8-15 reps per set, in the later stages of a back or upper-body workout."
Latissimus dorsi SMR,"Latissimus dorsi self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the lat muscles of the mid back, some people find they can cause this often painful and tight area to relax or ""release."" Latissimus dorsi SMR is often accompanied by SMR on the pectorals or rhomboids, or by stretches that target the lats."
Bent-arm barbell pull-over,"The bent-arm barbell pull-over was a staple exercise of the ""Golden Era"" of bodybuilding and a favorite of Arnold Schwarzenegger himself. Done properly, the exercise targets the pecs, lats, and serratus anterior muscles. Old-school bodybuilders would perform them with light weights for sets of 20 between sets of heavy 20-rep squats, but pull-overs are more popular today in moderate rep ranges, such as 8-12 reps per set, as part of an upper-body workout."
Barbell pull-over to press,"The barbell pull-over to press is a complex that combines two popular exercises into one sequence that works much of the upper body, particularly the chest, triceps, and serratus anterior muscles. It is commonly performed with an EZ-bar, but can also be performed with a straight bar or neutral-grip bar. Because the pull-over will determine the amount of weight you can use, this movement is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body portion of a workout."
Single-arm barbell bent-over row,"The single-arm barbell bent-over row is a barbell exercise focused on the muscles of the middle back, such as the lats (latissimus dorsi) and rhomboids. It also targets the biceps and grip. If the loose end of the barbell moves around, it can be secured by placing it in the corner of a room."
Reverse Barbell Row,
Side kick-through to kettlebell high pull,"The side kick-through to kettlebell high pull is a combination of a popular bodyweight exercise and an explosive kettlebell movement. Between them, the pairing targets the traps, shoulders, core, hips, hamstrings, and glutes. This combination can be performed for time or for reps, often as circuit-style training for conditioning or fat loss."
FYR2 Alternating Kettlebell Snatch,
FYR2 Alternating Kettlebell Swing,
FYR2 American Kettlebell Swing,
FYR2 Double-Kettlebell Standing Clean,
FYR2 Kettlebell Swing High Pull,
FYR2 Kettlebell Swing-Clean-Press Combo,
FYR2 Kettlebell Swing-Clean-Press-Row Combo,
FYR2 Single-Arm Kettlebell Clean,
FYR2 Single-Arm Kettlebell Swing,
PJR pull-over-,"The PJR pull-over is a triceps-focused version of the pull-over exercise, usually performed on either a flat or slightly inclined bench. The low position of the movement stretches the triceps—particularly the long head of the muscle—while the top position is a triceps press that contracts all three heads. It can be done in any type of strength or muscle-focused workout, in traditional muscle-building rep ranges, such as 8-12 reps, or for higher reps."
